'''
Created on Aug 21, 2015

@author: pta
'''
JOBS = 20
NUM_GEN = 100
POPSIZE = 100
PCROSS = 0.6
PMUTATION = 3.0
INDPB = 0.1
PLOCALSEARCH = 1.0
VERBOSE = False
MAX_TRAILS = 20
MAX_TRAILS_LS = 20

C1-1-25-75-4.ctp 6161.0 6161 4 0:16:51.419457
C1-1-25-75-5.ctp 6161.0 6161 4 0:16:17.322538
C1-1-50-50-6.ctp 9900.0 9895 9 0:31:46.703897
C1-25-50-50-5.ctp 32940.0 0 31 0:58:49.330181
C1-25-50-50-6.ctp 31869.0 0 31 1:02:46.096941
C1-1-25-75-8.ctp 6161.0 6161 4 0:16:11.039348
C1-13-25-75-6.ctp 16228.0 0 16 0:28:25.512735
C1-1-50-50-4.ctp 11372.0 11372 10 0:29:19.344956
C1-1-25-75-6.ctp 6161.0 6161 4 0:15:49.030910
C1-5-25-75-8.ctp 7474.0 7474 8 0:20:18.599975
C1-13-25-75-4.ctp 18621.0 0 16 0:26:40.896741
C1-10-50-50-4.ctp 20508.0 18212 16 0:38:41.472040
C1-25-50-50-8.ctp 27882.0 0 31 1:09:35.984765
C1-1-50-50-5.ctp 10137.0 9900 9 0:30:28.622304
C1-10-50-50-5.ctp 17883.0 16362 17 0:41:00.842337
C1-5-25-75-4.ctp 9898.0 9898 8 0:20:06.486875
C1-13-25-75-5.ctp 16977.0 0 16 0:27:42.302730
C1-1-50-50-8.ctp 8784.0 8699 9 0:33:31.261739
C1-25-50-50-4.ctp 36513.0 0 32 0:55:17.395675
C1-10-50-50-6.ctp 15946.0 14749 16 0:42:53.942329
C1-10-50-50-8.ctp 13839.0 12414 16 0:46:27.152732
C1-5-25-75-6.ctp 9321.0 9321 8 0:20:44.565394
D1-1-25-75-5.ctp 7465.0 7465 6 0:17:40.246181
D1-25-50-50-6.ctp 35924.0 0 33 1:01:07.116854
D1-25-50-50-4.ctp 43947.0 0 32 0:54:12.442075
D1-1-50-50-8.ctp 9380.0 9361 9 0:36:00.819049
D1-5-25-75-5.ctp 10982.0 10982 8 0:20:50.218643
D1-10-50-50-5.ctp 20873.0 18576 17 0:42:27.635226
D1-10-50-50-4.ctp 22965.0 20982 17 0:40:22.172931
D1-13-25-75-5.ctp 17049.0 0 15 0:27:24.519751
D1-13-25-75-6.ctp 15945.0 0 15 0:28:02.615963
D1-13-25-75-4.ctp 19977.0 0 16 0:26:16.185080
D1-25-50-50-5.ctp 40411.0 0 33 0:57:54.721358
D1-1-50-50-5.ctp 10993.0 10770 9 0:32:51.937019
D1-5-25-75-8.ctp 8200.0 8200 8 0:22:08.290667
D1-10-50-50-6.ctp 17970.0 16330 17 0:44:37.089929
D1-10-50-50-8.ctp 17550.0 14204 19 0:48:10.647747
D1-1-25-75-8.ctp 6651.0 6651 6 0:16:41.755877
D1-5-25-75-6.ctp 9669.0 9669 9 0:21:47.897190
D1-25-50-50-8.ctp 31751.0 0 33 1:07:25.534827
D1-1-25-75-6.ctp 6651.0 6651 6 0:17:29.125399
D1-1-50-50-6.ctp 10770.0 10680 10 0:34:07.198587
D1-1-50-50-4.ctp 11625.0 11606 9 0:31:28.843918
D1-5-25-75-4.ctp 11820.0 11820 8 0:20:34.202226
D1-1-25-75-4.ctp 7671.0 7671 6 0:17:21.757595
D1-13-25-75-8.ctp 14664.0 0 15 0:25:20.135981
