gen	best_of_gen	nevals	avg    	std    	min  	max  
6  	9900       	35    	12427.4	2278.72	9900 	18279
7  	9900       	39    	12267.8	2378.79	9900 	18572
8  	9900       	36    	11408  	2142.7 	9900 	17605
9  	9900       	34    	11448.2	2255.72	9900 	17145
10 	9900       	35    	11238  	1815.3 	9900 	16474
11 	9900       	41    	11924  	2423.37	9900 	17536
12 	9900       	40    	11544.9	1900.8 	9900 	16291
13 	9900       	38    	12582.4	2650.12	9900 	18017
14 	9900       	37    	12337.8	2344.07	9900 	17015
15 	9900       	36    	12494.4	2598.95	9900 	17782
16 	9900       	38    	12269.8	2462.37	9900 	16994
17 	9900       	38    	12286.7	2369.69	9900 	17594
18 	9900       	37    	12069.3	2283.96	9900 	19041
19 	9900       	41    	12295.1	2646.58	9900 	19643
20 	9900       	40    	12277.5	2374.5 	9900 	17727
run 5: 9900.00 5 488
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	15080      	50    	19825.3	2378.15	15080	25322
1  	10378      	42    	18322.2	2375.04	10378	22527
2  	10378      	35    	16336.5	2399.07	10378	20112
3  	9900       	38    	15238.3	2745.75	9900 	20108
4  	9900       	42    	14521.8	2764.06	9900 	23285
5  	9900       	39    	13724.4	2571.75	9900 	19463
6  	9900       	28    	13109.1	2871.87	9900 	19602
7  	9900       	35    	12647.3	2850.81	9900 	18410
8  	9900       	34    	12199.7	2652.99	9900 	17768
9  	9900       	43    	12015.3	2153.74	9900 	17627
10 	9900       	41    	12525.5	2535.54	9900 	17803
11 	9900       	34    	12076.9	2194.48	9900 	17647
12 	9900       	36    	12749  	2647.71	9900 	19159
13 	9900       	37    	12638.7	2766.1 	9900 	18206
14 	9900       	39    	11957.7	2617.87	9900 	19094
15 	9900       	40    	12538.3	2539.39	9900 	18388
16 	9900       	31    	11796.5	2252.49	9900 	16642
17 	9900       	44    	12468.7	2526.96	9900 	18508
18 	9900       	31    	11951.8	2398.03	9900 	19233
19 	9900       	40    	12367.4	2423.42	9900 	17319
20 	9900       	42    	12281.5	2587.51	9900 	17915
run 6: 9900.00 10 522
gen	best_of_gen	nevals	avg  	std    	min  	max  
0  	15854      	50    	19763	2313.91	15854	25573
1  	9900       	39    	16845.2	2916.67	9900 	22789
2  	9900       	37    	15559.3	3203.44	9900 	23380
3  	9900       	38    	13662.8	2572.18	9900 	18799
4  	9900       	34    	13196.4	2633.31	9900 	19478
5  	9900       	30    	12836.5	2571.4 	9900 	19224
6  	9900       	39    	12193.8	1988.8 	9900 	15775
7  	9900       	37    	12626.4	2449.17	9900 	18098
8  	9900       	33    	12435  	2391.67	9900 	17135
9  	9900       	32    	11620.3	2163.04	9900 	17440
10 	9900       	42    	11893.9	2264.36	9900 	17223
11 	9900       	33    	11784.5	2364.1 	9900 	18018
12 	9900       	32    	11577.1	2196.52	9900 	17865
13 	9900       	32    	12442.3	2497.09	9900 	17841
14 	9900       	36    	12643.2	2724.99	9900 	18781
15 	9900       	38    	12876.6	3042.97	9900 	19407
16 	9900       	41    	12268.3	2687.91	9900 	17611
17 	9900       	41    	11813.2	2323.7 	9900 	17475
18 	9900       	37    	12193.8	2747.06	9900 	19325
19 	9900       	39    	12144.5	2398.02	9900 	17173
20 	9900       	40    	12245.4	2583.05	9900 	18541
run 7: 9900.00 1 497
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	14504      	50    	19950.3	2319.07	14504	24271
1  	13237      	39    	17770.9	1833.4 	13237	20775
2  	10722      	38    	16844.3	2300.38	10722	21142
3  	9900       	37    	15065.8	2753.52	9900 	19711
4  	9900       	37    	13440.3	2007.51	9900 	17329
5  	9900       	35    	12955.4	2178.44	9900 	19318
6  	9900       	28    	12778.5	2183.71	9900 	20327
7  	9900       	39    	12618.5	2179   	9900 	18382
8  	9900       	43    	12523.5	2283.53	9900 	17560
9  	9900       	38    	12479.2	2405.41	9900 	17834
10 	9900       	36    	11905.8	2135.42	9900 	18099
11 	9900       	45    	12978.8	2876.26	9900 	18071
12 	9900       	39    	12578.1	2423   	9900 	16872
13 	9900       	39    	12188.9	2417.26	9900 	18257
14 	9900       	39    	11899.2	2508.41	9900 	20372
15 	9900       	39    	12516.2	2509.74	9900 	19304
16 	9900       	34    	12692.8	2616.99	9900 	19491
17 	9900       	36    	12440.5	2641.48	9900 	18714
18 	9900       	36    	12483.5	2669.09	9900 	19070
19 	9900       	36    	12368.2	2380.62	9900 	18096
20 	9900       	34    	12481.4	2705.9 	9900 	18225
run 8: 9900.00 0 494
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	14648      	50    	19322.3	2393.89	14648	26523
1  	12997      	35    	18159.6	2230.87	12997	23188
2  	9900       	34    	16820.6	2458   	9900 	23187
3  	9900       	37    	15199.7	2465.56	9900 	19471
4  	9900       	42    	14313.1	2305.58	9900 	18662
5  	9900       	38    	13419  	2239.6 	9900 	17100
6  	9900       	32    	12930.6	2580.45	9900 	17860
7  	9900       	43    	13105.9	2593.58	9900 	19211
8  	9900       	37    	12379  	2283.19	9900 	16943
9  	9900       	38    	11827.3	1862.07	9900 	16638
10 	9900       	39    	12287.7	2261.73	9900 	19336
11 	9900       	35    	12152  	2041.46	9900 	16363
12 	9900       	44    	12940.7	2798.62	9900 	19754
13 	9900       	44    	12521.4	2469.28	9900 	18373
14 	9900       	33    	12568.5	2788.02	9900 	18692
15 	9900       	40    	12669.1	2950.51	9900 	18546
16 	9900       	41    	12490.3	2402   	9900 	18514
17 	9900       	42    	12412.2	2341.85	9900 	17426
18 	9900       	38    	12017.5	2884.37	9900 	19959
19 	9900       	34    	12144.6	2701.43	9900 	18078
20 	9900       	37    	11473.2	2065.23	9900 	16312
run 9: 9900.00 2 503
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	11398      	50    	15336.7	1929.68	11398	20339
1  	7985       	44    	13648.8	2209.71	7985 	19423
2  	7985       	34    	12074.7	2342.82	7985 	16557
3  	7985       	36    	11671.9	2402.77	7985 	16801
4  	7985       	34    	10595.6	2357.25	7985 	17044
5  	7985       	42    	11139  	2951.74	7985 	16851
6  	7985       	37    	10715  	2510.71	7985 	16227
7  	7985       	35    	10130.4	2122.21	7985 	14006
8  	7985       	41    	10525.1	2643.17	7985 	17790
9  	7985       	41    	10295.9	2369.9 	7985 	16223
10 	7985       	30    	9779.5 	2005.14	7985 	14574
11 	7985       	38    	10290.9	2511.5 	7985 	15622
12 	7985       	36    	10646.4	2699.81	7985 	16564
13 	7985       	43    	10770.8	2374.72	7985 	16132
14 	7985       	33    	10654.4	2901.77	7985 	17428
15 	7985       	37    	10411.2	2412.1 	7985 	16155
16 	7985       	36    	9670.52	2212.21	7985 	17908
17 	7985       	40    	10445.6	2441.93	7985 	16362
18 	7985       	40    	10637.3	2722.26	7985 	17133
19 	7985       	39    	11197  	3034.91	7985 	17932
20 	7985       	39    	10041.9	2057.78	7985 	14555
run 0: 7985.00 25 513
gen	best_of_gen	nevals	avg    	std   	min  	max  
0  	11223      	50    	15863.3	2085.5	11223	21546
1  	7985       	42    	14374.3	2245.45	7985 	19592
2  	7985       	41    	12609.9	2378.15	7985 	18025
3  	7985       	37    	12178.8	2898.39	7985 	21766
4  	7985       	42    	11160.8	2291.67	7985 	17408
5  	7985       	36    	10475.1	2457.76	7985 	18039
6  	7985       	40    	11046  	2693.74	7985 	17189
7  	7985       	39    	10230.5	2352.51	7985 	17282
8  	7985       	38    	10489.6	2631.23	7985 	18124
9  	7985       	46    	10918.4	2408.16	7985 	15627
10 	7985       	33    	9895.92	2127.56	7985 	14708
11 	7985       	42    	9888.76	2275.2 	7985 	16727
12 	7985       	35    	10013.3	2176.9 	7985 	16861
13 	7985       	41    	10750.3	2620.72	7985 	17263
14 	7985       	36    	10256.5	2620.04	7985 	16692
15 	7985       	36    	9618.04	2335.83	7985 	15816
16 	7985       	43    	10370.6	2325.85	7985 	15024
17 	7985       	35    	10000.7	2431.51	7985 	15586
18 	7985       	38    	9958.02	2439.51	7985 	15717
19 	7985       	37    	10014.4	2409.51	7985 	15622
20 	7985       	36    	10305.7	2478.76	7985 	16292
run 1: 7985.00 21 525
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	10793      	50    	15289.7	1821.48	10793	19390
1  	8861       	34    	13340.6	1523.07	8861 	16097
2  	7985       	42    	12623.3	2113.04	7985 	17866
3  	7985       	39    	11617.5	2012.3 	7985 	16113
4  	7985       	37    	11120.2	2510.55	7985 	16860
5  	7985       	36    	11013.1	2638.43	7985 	17017
6  	7985       	35    	10094.5	2466.81	7985 	17355
7  	7985       	39    	9971.46	2106.87	7985 	14702
8  	7985       	38    	10136.5	2422.41	7985 	16407
9  	7985       	39    	10786.2	2636.39	7985 	17908
10 	7985       	32    	9491.24	1962.93	7985 	13929
11 	7985       	40    	9774.12	2070.49	7985 	14990
12 	7985       	33    	9697.16	2199.18	7985 	16158
13 	7985       	29    	9815.76	2324.76	7985 	15597
14 	7985       	43    	10164.7	2307.91	7985 	15490
15 	7985       	38    	10269.1	2628.62	7985 	16407
16 	7985       	34    	9924.18	2525.97	7985 	16409
17 	7985       	37    	9354.16	1981.57	7985 	14382
18 	7985       	41    	9919.82	2696.86	7985 	16395
19 	7985       	39    	10010.2	2330.07	7985 	15932
20 	7985       	32    	10329.7	2521.61	7985 	15917
run 2: 7985.00 24 479
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	11223      	50    	15310.8	1951.03	11223	18595
1  	7985       	41    	13822.7	2097.72	7985 	18220
2  	7985       	39    	12889  	2166.92	7985 	16485
3  	7985       	34    	11146.6	2069.87	7985 	15108
4  	7985       	39    	10479  	2199.67	7985 	15074
5  	7985       	44    	10806.2	2453.61	7985 	16246
6  	7985       	40    	11115.6	2504.38	7985 	16623
7  	7985       	34    	10747.1	2387.82	7985 	15523
8  	7985       	44    	10800.6	2293.88	7985 	16821
9  	7985       	41    	10323.3	2453.36	7985 	16286
10 	7985       	35    	9907.28	2005.12	7985 	14361
11 	7985       	35    	10227.2	2786.17	7985 	16544
12 	7985       	41    	10035.9	2159.33	7985 	14107
13 	7985       	41    	10346.8	2227.52	7985 	17025
14 	7985       	38    	10880.4	2332.19	7985 	17097
15 	7985       	36    	10478.5	2277   	7985 	16255
16 	7985       	38    	10292  	2181.5 	7985 	15339
17 	7985       	33    	10451.9	2664.38	7985 	15717
18 	7985       	38    	10470.6	2597.67	7985 	16425
19 	7985       	37    	10461.2	2608.16	7985 	16278
20 	7985       	44    	10090.3	2485.27	7985 	15995
run 3: 7985.00 25 530
gen	best_of_gen	nevals	avg    	std    	min 	max  
0  	8830       	50    	15654.4	2255.09	8830	20607
1  	8387       	38    	13545.6	2559.71	8387	18297
2  	7985       	41    	11968.7	2255.49	7985	16255
3  	7985       	42    	11281.7	2205.73	7985	16684
4  	7985       	40    	11229.2	2265.58	7985	16441
5  	7985       	46    	11151.7	1899.27	7985	16417
6  	7985       	34    	10972.2	2384.88	7985	16726
7  	7985       	39    	11317.2	2561.63	7985	16314
8  	7985       	41    	10432.8	1980.31	7985	14676
9  	7985       	34    	10126.4	2230.76	7985	16089
10 	7985       	38    	10253.2	2275.89	7985	16082
11 	7985       	36    	10012  	2349.39	7985	15364
12 	7985       	37    	10248.2	2414.58	7985	15226
13 	7985       	33    	10005.6	2513.86	7985	15932
14 	7985       	40    	11102.6	2497.28	7985	16487
15 	7985       	36    	10188.5	2289.28	7985	15744
16 	7985       	36    	10347.1	2482.79	7985	16373
17 	7985       	34    	10327.6	2260.25	7985	15872
18 	7985       	38    	10022.4	2260.73	7985	16268
19 	7985       	34    	10316.6	2400.89	7985	16407
20 	7985       	33    	9925.36	2146.29	7985	14365
run 4: 7985.00 19 514
gen	best_of_gen	nevals	avg    	std    	min 	max  
0  	9399       	50    	15615.6	2245.55	9399	21161
1  	7985       	41    	13894.2	2533.44	7985	18276
2  	7985       	38    	12660.4	2492.95	7985	19088
3  	7985       	34    	11175.8	2211.06	7985	16295
4  	7985       	40    	10916.3	2351.05	7985	17263
5  	7985       	39    	10373.2	2270.77	7985	16472
6  	7985       	40    	10489.2	2539.4 	7985	16996
7  	7985       	35    	9834.38	2215.91	7985	15303
8  	7985       	41    	10309.2	2442.53	7985	15431
9  	7985       	38    	10766.4	2868.07	7985	17375
10 	7985       	36    	10058.9	2421.97	7985	15818
11 	7985       	37    	10225.8	2752.62	7985	16407
12 	7985       	34    	10260.6	2434.82	7985	16996
13 	7985       	35    	10295.2	2333.81	7985	15622
14 	7985       	40    	9676.04	1922.25	7985	14520
15 	7985       	43    	10379.3	2550.31	7985	15471
