gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	13519      	100   	18800.4	2375.93	13519	23699
1  	11819      	76    	17188.2	2097.67	11819	22047
2  	11819      	77    	16166.1	2005.19	11819	22777
3  	11819      	73    	15487.3	1911.76	11819	19955
4  	10779      	84    	15053.6	2023.69	10779	19597
5  	10779      	76    	15007.3	2331.68	10779	19955
6  	10779      	74    	15114.3	2543.28	10779	22186
7  	10779      	71    	14721.7	2297.44	10779	20292
8  	10779      	76    	14456.3	2461.42	10779	20733
9  	10779      	71    	14492.9	2927.97	10779	20460
10 	10779      	70    	13841.1	2560.66	10779	20709
11 	10779      	74    	13843.1	2800.52	10779	20499
12 	10779      	79    	13940.6	3068.52	10779	22186
13 	10779      	70    	14091  	3097.99	10779	22186
14 	10779      	74    	14015.2	3060.57	10779	20243
15 	10779      	79    	14149.4	3195.93	10779	21260
16 	10779      	76    	14137.9	3345.13	10779	23142
17 	10779      	75    	13965.5	2990.91	10779	21523
18 	10779      	85    	14199.5	3256.28	10779	20688
19 	10779      	68    	13790.1	2955.41	10779	20566
20 	10779      	68    	13469.6	2875.43	10779	20657
21 	10779      	70    	14020.1	3361.72	10779	21390
22 	10779      	78    	13857.5	3117.65	10779	21260
23 	10779      	73    	13684.4	3029.17	10779	20464
24 	10779      	80    	14576.2	3178.88	10779	21260
25 	10779      	76    	14150.8	2960.55	10779	21269
26 	10779      	71    	14055.6	3108.79	10779	23142
27 	10779      	75    	14430.8	3233.92	10779	21349
28 	10779      	79    	13954.2	2851.21	10779	20734
29 	10779      	84    	14589.3	3248.88	10779	22982
30 	10779      	73    	13873.6	2881.15	10779	19633
31 	10779      	78    	14283.3	3073.01	10779	21974
32 	10779      	80    	14263.6	3030.5 	10779	21269
33 	10779      	85    	14614  	2814.46	10779	20029
34 	10779      	76    	14806.4	3192.12	10779	21338
35 	10779      	74    	14119.3	2942.35	10779	21700
36 	10779      	70    	13899.9	3043.78	10779	21366
37 	10779      	70    	13617.5	2929.3 	10779	21260
38 	10779      	80    	14879.9	3013.15	10779	21269
39 	10779      	80    	15022.3	3119.71	10779	22332
40 	10779      	77    	14586.9	2954.03	10779	20709
41 	10779      	69    	13539.1	2708.69	10779	20733
42 	10779      	86    	14030  	2948.43	10779	19601
43 	10779      	71    	14084.3	2843.81	10779	19292
44 	10779      	82    	14141.3	3108.61	10779	21269
45 	10779      	68    	13512.2	2993.19	10779	20891
46 	10779      	77    	13492.3	2989.33	10779	20488
47 	10779      	79    	14057.9	3019.33	10779	21075
48 	10779      	73    	14166.9	2999.08	10779	19783
49 	10779      	69    	14272.5	3214.37	10779	21401
50 	10779      	77    	14358.8	2868.34	10779	21260
51 	10779      	79    	14615.5	2774.83	10779	21075
52 	10779      	80    	14117.5	2748.83	10779	20597
53 	10779      	74    	14212.8	2785.8 	10779	20731
54 	10779      	80    	14483.4	2945.8 	10779	20243
55 	10779      	79    	14043.6	2840.25	10779	20826
56 	10779      	80    	14419.7	2838.82	10779	20690
57 	10779      	84    	14574.3	2768.16	10779	19593
58 	10779      	75    	14331.8	2813.86	10779	21269
59 	10779      	67    	14049.2	2871.35	10779	21349
60 	10779      	78    	14334.7	2899.26	10779	19041
61 	10779      	67    	14137.7	3077.27	10779	21241
62 	10779      	79    	14181.9	2704.35	10779	19204
63 	10779      	75    	13928.2	2817.34	10779	20892
64 	10779      	76    	14466.8	3209.24	10779	20826
65 	10779      	68    	14209  	2980.42	10779	20191
