'''
Created on Aug 21, 2015

@author: pta
'''
JOBS = 20
NUM_GEN = 100
POPSIZE = 100
PCROSS = 0.6
PMUTATION = 3.0
INDPB = 0.1
PLOCALSEARCH = 1.0
VERBOSE = False
MAX_TRAILS = 1
MAX_TRAILS_LS = 20

C1-10-50-50-5.ctp 18198.0 16362 17 0:17:28.476135
C1-25-50-50-5.ctp 34301.0 0 33 0:25:24.995346
C1-13-25-75-4.ctp 18655.0 0 16 0:16:34.190003
C1-10-50-50-6.ctp 16268.0 14749 17 0:17:32.920501
C1-10-50-50-4.ctp 20072.0 18212 16 0:17:55.917297
C1-5-25-75-6.ctp 9321.0 9321 8 0:11:35.381372
C1-25-50-50-6.ctp 32255.0 0 31 0:25:11.596528
C1-1-50-50-6.ctp 9895.0 9895 9 0:14:00.577928
C1-5-25-75-4.ctp 9898.0 9898 8 0:11:35.752278
C1-25-50-50-4.ctp 38313.0 0 31 0:26:08.490171
C1-1-25-75-8.ctp 6161.0 6161 4 0:08:29.701542
C1-1-25-75-6.ctp 6161.0 6161 4 0:08:43.333444
C1-10-50-50-8.ctp 15470.0 12414 16 0:17:25.481783
C1-1-50-50-5.ctp 9972.0 9900 9 0:14:07.564285
C1-1-50-50-4.ctp 11637.0 11372 9 0:14:16.214729
C1-5-25-75-5.ctp 9707.0 9707 8 0:11:28.173460
C1-13-25-75-6.ctp 16252.0 0 16 0:15:52.332294
C1-1-25-75-4.ctp 6161.0 6161 4 0:09:12.421425
C1-5-25-75-8.ctp 7474.0 7474 8 0:11:10.708683
C1-1-50-50-8.ctp 8712.0 8699 9 0:13:45.686878
C1-13-25-75-8.ctp 13869.0 0 16 0:15:51.658328
C1-13-25-75-5.ctp 17469.0 0 16 0:16:02.776235
D1-1-25-75-8.ctp 6651.0 6651 6 0:09:39.806633
D1-13-25-75-4.ctp 19617.0 0 15 0:16:35.353912
D1-25-50-50-8.ctp 31935.0 0 32 0:26:37.596497
D1-5-25-75-8.ctp 8200.0 8200 8 0:12:04.535306
D1-13-25-75-6.ctp 15945.0 0 15 0:15:33.013873
D1-1-25-75-5.ctp 7465.0 7465 6 0:11:06.187947
D1-1-25-75-6.ctp 6651.0 6651 6 0:10:52.296012
D1-1-50-50-4.ctp 11625.0 11606 9 0:14:50.426160
D1-13-25-75-5.ctp 16777.0 0 15 0:16:12.899934
D1-1-25-75-4.ctp 7671.0 7671 6 0:11:07.819397
D1-13-25-75-8.ctp 14728.0 0 15 0:15:42.136483
D1-10-50-50-5.ctp 21287.0 18576 17 0:18:57.648268
D1-5-25-75-5.ctp 10982.0 10982 8 0:12:18.128124
D1-1-50-50-8.ctp 9459.0 9361 9 0:14:17.573586
D1-5-25-75-4.ctp 11820.0 11820 8 0:12:08.159557
D1-25-50-50-6.ctp 37825.0 0 33 0:26:31.582418
D1-25-50-50-5.ctp 38666.0 0 32 0:27:02.624450
D1-25-50-50-4.ctp 44911.0 0 32 0:27:19.179492
D1-10-50-50-6.ctp 18627.0 16330 17 0:18:52.043697
D1-5-25-75-6.ctp 9676.0 9669 8 0:12:12.126360
D1-1-50-50-6.ctp 10953.0 10680 11 0:14:30.834652
D1-1-50-50-5.ctp 10993.0 10770 9 0:14:31.795079
D1-10-50-50-4.ctp 23710.0 20982 17 0:18:50.055999
D1-10-50-50-8.ctp 17309.0 14204 18 0:13:48.190138
