Instances  Hoang  GA-R   GA-I3   GA-I5   GALS-R   GALS-I3   GALS-I5  
 optimal Cost GAP cost GAP time cost GAP time cost GAP time cost GAP time cost GAP time cost GAP time
A2-20-100-100-4.ctp 26594 26594 1.97 32780 18.8712629652 00:18:19.26 27326 2.6787674742 00:08:48.53 27436 3.0689604899 00:08:18.70 26627 0.1239343523 04:02:25.48 26674 0.2999175227 04:27:28.94 26864 1.0050625372 03:44:52.92
A2-20-100-100-5.ctp 23419 23419 4.38 29405 20.3570821289 00:18:31.78 24078 2.7369382839 00:09:53.18 25915 9.6314875555 00:08:35.67 23558 0.5900331098 03:21:46.59 23867 1.877068756 04:24:48.05 23993 2.3923644396 03:45:48.46
A2-20-100-100-6.ctp 20966 20966 4.43 27768 24.4958225295 00:09:44.49 22439 6.564463657 00:10:07.89 21934 4.4132397192 00:09:37.39 22015 4.7649330002 02:56:54.57 21554 2.7280319198 03:58:51.14 21355 1.8215874502 03:17:58.77
A2-20-100-100-8.ctp 18418 18418 8.76 22556 18.3454513212 00:19:09.16 19568 5.876941946 00:09:41.63 19644 6.2410914274 00:13:38.47 19068 3.4088525278 04:00:45.91 19264 4.3916112957 03:45:02.94 18971 2.9149754889 03:10:58.96
B1-1-25-75-4.ctp 7146 7146 0 7146 0 00:03:41.85 7146 0 00:01:32.56 7146 0 00:04:19.05 7146 0 00:12:25.09 7146 0 00:09:35.52 7146 0 00:07:55.52
B1-1-25-75-5.ctp 6901 6901 0 6901 0 00:03:30.97 6901 0 00:01:24.49 6901 0 00:03:51.08 6901 0 00:12:14.67 6901 0 00:09:16.94 6901 0 00:07:28.98
B1-1-25-75-6.ctp 6450 6450 0 6450 0 00:03:41.79 6450 0 00:01:21.28 6450 0 00:03:56.24 6450 0 00:10:17.19 6450 0 00:07:22.08 6450 0 00:06:47.55
B1-1-25-75-8.ctp 6450 6450 0 6450 0 00:03:30.51 6450 0 00:01:29.98 6450 0 00:03:36.90 6450 0 00:09:59.74 6450 0 00:08:33.25 6450 0 00:06:36.66
B1-1-50-50-4.ctp 10107 10107 0 10107 0 00:05:02.90 10107 0 00:02:18.36 10107 0 00:06:34.77 10107 0 00:21:32.81 10107 0 00:18:10.89 10107 0 00:11:05.88
B1-1-50-50-5.ctp 9723 9723 0 9723 0 00:05:08.96 9723 0 00:02:23.40 9723 0 00:06:23.68 9723 0 00:19:59.56 9723 0 00:18:00.25 9723 0 00:13:13.44
B1-1-50-50-6.ctp 9382 9382 0 9465 0.8769149498 00:04:54.71 9461 0.8350068703 00:02:40.25 9382 0 00:06:09.20 9436 0.5722763883 00:22:01.56 9382 0 00:17:01.43 9382 0 00:15:58.05
B1-1-50-50-8.ctp 8348 8348 0 8379 0.3699725504 00:05:29.90 8516 1.972757163 00:02:22.38 8379 0.3699725504 00:06:30.20 8728 4.3538038497 00:18:49.57 8348 0 00:16:38.52 8348 0 00:11:36.98
B1-10-50-50-4.ctp 15209 15209 0 15209 0 00:07:17.91 15209 0 00:03:36.97 15209 0 00:08:28.47 15209 0 01:18:21.61 15209 0 00:59:49.48 15209 0 00:42:09.48
B1-10-50-50-5.ctp 13535 13535 0 13665 0.9513355287 00:07:36.42 13684 1.0888629056 00:03:11.90 13866 2.3871339968 00:08:12.51 13612 0.5656773435 01:08:14.07 13665 0.9513355287 00:59:36.82 13665 0.9513355287 00:51:26.73
B1-10-50-50-6.ctp 12067 12067 0 12067 0 00:07:06.73 12067 0 00:03:37.86 12067 0 00:08:43.49 12067 0 00:38:25.71 12067 0 00:51:25.60 12067 0 00:42:26.20
B1-10-50-50-8.ctp 10344 10344 0 10344 0 00:07:14.12 10344 0 00:03:25.66 10344 0 00:08:24.09 10344 0 00:47:54.02 10445 0.966969842 00:48:29.30 10344 0 00:39:55.02
B1-5-25-75-4.ctp 9465 9465 0 9465 0 00:03:35.14 9465 0 00:01:35.50 9465 0 00:03:49.29 9465 0 00:17:31.92 9465 0 00:13:35.46 9465 0 00:10:46.70
B1-5-25-75-5.ctp 9460 9460 0 9460 0 00:03:01.15 9460 0 00:01:18.34 9460 0 00:03:30.86 9460 0 00:16:56.14 9460 0 00:12:05.32 9460 0 00:10:12.44
B1-5-25-75-6.ctp 9148 9148 0 9148 0 00:01:58.64 9148 0 00:01:16.94 9148 0 00:03:39.00 9148 0 00:16:37.35 9148 0 00:12:55.40 9148 0 00:10:23.38
B1-5-25-75-8.ctp 8306 8306 0 8306 0 00:03:15.59 8306 0 00:01:20.82 8306 0 00:03:32.10 8306 0 00:13:30.68 8306 0 00:10:14.74 8306 0 00:08:50.26
B2-1-100-100-4.ctp 18370 18370 0 18448 0.4228100607 00:31:19.79 18680 1.6595289079 00:18:37.37 18841 2.4998673107 00:44:17.27 18424 0.2930959618 01:10:48.37 18477 0.5790983385 02:15:22.76 18561 1.0290393837 01:40:25.25
B2-1-100-100-5.ctp 15876 15876 0 16014 0.8617459723 00:35:20.10 16022 0.9112470353 00:18:03.84 15876 0 00:15:57.49 16325 2.7503828484 02:01:36.61 15876 0 02:07:35.76 15876 0 01:24:21.19
B2-1-100-100-6.ctp 14926 14926 4.65 15245 2.0924893408 00:10:34.68 15903 6.1434949381 00:21:03.99 14867 -0.3968520885 00:47:53.68 15090 1.0868124586 01:02:36.74 14867 -0.3968520885 00:36:21.03 14880 -0.3091397849 01:24:51.34
B2-1-100-100-8.ctp 13137 13137 6.6 13468 2.4576774577 00:10:29.59 13644 3.7159190853 00:21:55.10 13347 1.573387278 00:53:25.07 13292 1.1661149564 00:58:16.88 13292 1.1661149564 02:08:03.87 13182 0.3413746017 01:38:57.11
B2-1-50-150-4.ctp 11175 11175 0 11452 2.4187914775 00:03:51.44 11452 2.4187914775 00:04:55.00 11175 0 00:04:58.68 11452 2.4187914775 00:28:59.26 11175 0 00:30:46.95 11175 0 00:27:01.50
B2-1-50-150-5.ctp 10502 10502 0 10533 0.2943131112 00:04:02.54 10502 0 00:05:38.74 10502 0 00:15:15.11 10502 0 00:27:17.76 10502 0 00:29:17.48 10502 0 00:27:08.30
B2-1-50-150-6.ctp 9799 9799 0 9799 0 00:11:34.90 9876 0.7796678817 00:04:46.95 9799 0 00:04:33.45 10057 2.5653773491 00:24:16.44 9799 0 00:09:06.28 9799 0 00:28:17.08
B2-1-50-150-8.ctp 8846 8846 0 8846 0 00:03:34.35 8846 0 00:04:44.79 9087 2.6521404204 00:05:48.66 8846 0 00:35:37.42 8846 0 00:29:35.58 8846 0 00:27:17.70
B2-10-50-150-4.ctp 16667 16667 0 16777 0.6556595339 00:13:16.02 16667 0 00:05:47.78 16686 0.1138679132 00:05:02.76 16667 0 01:28:21.11 16667 0 01:18:27.26 16667 0 01:03:12.03
B2-10-50-150-5.ctp 14188 14188 0 14188 0 00:04:23.85 14188 0 00:06:09.42 14188 0 00:05:05.55 14188 0 01:10:31.38 14188 0 00:20:32.24 14188 0 00:19:50.20
B2-10-50-150-6.ctp 12954 12954 0 12954 0 00:12:02.16 13021 0.5145534137 00:05:48.40 13021 0.5145534137 00:10:20.78 12954 0 01:27:09.22 12954 0 00:20:10.71 12954 0 00:57:39.77
B2-10-50-150-8.ctp 11495 11495 0 11495 0 00:04:29.75 11787 2.4773055061 00:06:24.68 11495 0 00:05:31.91 11496 0.0086986778 01:20:28.43 11495 0 01:02:28.96 11495 0 00:15:19.61
