A2-1-50-150-4.ctp;11550;11550;2;[[16,;4,;34,;40],;[23,;47,;9,;12]];;;;;;;;;;;;;;;;;;;;;;;;;;
B2-1-50-150-6.ctp;9799;9799;2;[[48,;39,;2],;[26,;3,;32,;44,;49,;36]];;;;;;;;;;;;;;;;;;;;;;;;;
A1-10-50-50-8.ctp;13369;13369;3;[[27,;19,;46],;[8,;6,;45,;2,;4,;36,;43,;1],;[5,;9,;17,;15,;3,;41,;7]];;;;;;;;;;;;;;;;
B1-10-50-50-4.ctp;15209;15209;4;[[42,;1,;15,;6],;[9,;39,;4,;29],;[8,;32,;5,;3],;[2,;7,;28,;11]];;;;;;;;;;;;;;;;;;
B1-10-50-50-5.ctp;13535;13535;3;[[9,;4,;39,;2,;7],;[15,;1,;32,;5,;3],;[31,;34,;6,;36,;8]];;;;;;;;;;;;;;;;;;;
A1-1-25-75-8.ctp;7985;7985;1;[[5,;18,;9,;22,;13,;4,;24]];;;;;;;;;;;;;;;;;;;;;;;;;;;
B1-10-50-50-8.ctp;10344;10344;2;[[8,;6,;42,;15,;1,;32,;5,;3],;[28,;7,;2,;9,;39,;4,;37,;45]];;;;;;;;;;;;;;;;;;
A1-10-50-50-6.ctp;14064;14100;3;[[9,;17,;15,;3,;41,;7],;[27,;8,;6,;19,;46,;5],;[1,;43,;36,;4,;13,;2]];;;;;;;;;;;;;;;;
A1-5-25-75-4.ctp;10827;10827;2;[[24,;3,;18],;[1,;4,;13,;2]];;;;;;;;;;;;;;;;;;;;;;;;;;;
B1-5-25-75-5.ctp;9460;9460;2;[[3,;13,;1,;15,;19],;[2,;4,;20]];;;;;;;;;;;;;;;;;;;;;;;;;;
A1-10-50-50-5.ctp;15440;15440;4;[[24,;4,;36,;1,;39],;[9,;35,;46],;[7,;41,;3,;18,;5],;[11,;2,;45,;6,;8]];;;;;;;;;;;;;;;;
B1-1-50-50-6.ctp;9382;9382;2;[[8,;49,;23,;15,;32,;3],;[25,;9,;2]];;;;;;;;;;;;;;;;;;;;;;;;;
A1-1-50-50-4.ctp;10271;10271;3;[[9,;17,;18,;7],;[46,;27],;[19,;28,;36,;49]];;;;;;;;;;;;;;;;;;;;;;;;
A2-20-100-100-4.ctp;26594;26594;7;[[85,;4,;87,;16],;[15,;10,;83,;17],;[14,;12,;26],;[68,;2,;67,;1],;[3,;13,;9,;18],;[5,;7,;41,;19],;[6,;8,;28,;11]];;;;;;;
A2-20-100-100-5.ctp;23419;23419;6;[[14,;19,;12,;26],;[6,;8,;15,;10,;83],;[85,;4,;87,;16,;7],;[2,;67,;1,;5,;30],;[18,;9,;35,;13,;3],;[11,;17,;28]];;;;;;;
