C1-5-25-75-4.ctp 9898.0 9898 0:05:15.187142
C1-10-50-50-6.ctp 14749.0 14749 0:26:57.724006
C1-25-50-50-8.ctp 20673.0 0 2:17:12.724917
C1-5-25-75-8.ctp 7474.0 7474 0:04:08.436980
C1-1-50-50-5.ctp 9900.0 9900 0:08:42.010553
C1-10-50-50-5.ctp 16482.0 16362 0:31:11.657314
C1-1-50-50-8.ctp 8699.0 8699 0:08:49.466895
C1-25-50-50-6.ctp 24066.0 0 2:34:44.954424
C1-1-25-75-5.ctp 6161.0 6161 0:01:43.215211
C1-13-25-75-8.ctp 12843.0 0 0:21:18.279341
C1-25-50-50-5.ctp 27327.0 0 2:46:15.832459
C1-1-25-75-4.ctp 6161.0 6161 0:01:42.246488
C1-13-25-75-6.ctp 15566.0 0 0:24:42.571087
C1-10-50-50-8.ctp 12414.0 12414 0:23:54.400415
C1-1-25-75-8.ctp 6161.0 6161 0:01:42.806882
C1-1-50-50-6.ctp 9895.0 9895 0:08:42.242323
C1-1-50-50-4.ctp 11372.0 11372 0:09:57.462650
C1-10-50-50-4.ctp 18245.0 18212 0:31:28.779511
C1-13-25-75-5.ctp 16827.0 0 0:28:44.936138
C1-1-25-75-6.ctp 6161.0 6161 0:01:42.206199
C1-25-50-50-4.ctp 31230.0 0 2:58:51.973198
C1-13-25-75-4.ctp 18306.0 0 0:28:43.354751
C1-5-25-75-6.ctp 9321.0 9321 0:05:00.644832
C1-5-25-75-5.ctp 9707.0 9707 0:05:20.775775
D1-25-50-50-5.ctp 30966.0 0 3:00:56.984695
D1-1-50-50-4.ctp 11606.0 11606 0:09:54.535724
D1-13-25-75-4.ctp 19508.0 0 0:23:52.061610
D1-13-25-75-8.ctp 14182.0 0 0:18:06.759008
D1-25-50-50-6.ctp 27585.0 0 2:46:02.552178
D1-10-50-50-8.ctp 14586.0 14204 0:31:32.703263
D1-10-50-50-5.ctp 18576.0 18576 0:36:24.148890
D1-1-50-50-6.ctp 10710.0 10680 0:09:11.242339
D1-5-25-75-4.ctp 11820.0 11820 0:05:28.912529
D1-1-25-75-5.ctp 7465.0 7465 0:03:41.693486
D1-25-50-50-8.ctp 23360.0 0 2:31:16.630355
D1-5-25-75-5.ctp 10982.0 10982 0:05:41.980117
D1-10-50-50-4.ctp 20982.0 20982 0:39:05.394446
D1-10-50-50-6.ctp 16600.0 16330 0:31:16.539842
D1-1-25-75-6.ctp 6651.0 6651 0:02:58.090464
D1-1-50-50-5.ctp 10770.0 10770 0:08:47.128788
D1-5-25-75-6.ctp 9676.0 9669 0:05:36.826537
D1-1-50-50-8.ctp 9361.0 9361 0:08:25.954873
D1-25-50-50-4.ctp 36062.0 0 3:14:59.605580
D1-1-25-75-8.ctp 6651.0 6651 0:02:56.043385
D1-1-25-75-4.ctp 7671.0 7671 0:03:51.030683
D1-13-25-75-5.ctp 16474.0 0 0:20:52.169333
D1-13-25-75-6.ctp 15571.0 0 0:21:06.563904
D1-5-25-75-8.ctp 8200.0 8200 0:04:30.663387
