"C1-13-25-75-5.ctp",16827,00:02:45.79,0
"C1-13-25-75-6.ctp",15656,00:02:26.88,0
"C1-13-25-75-8.ctp",12843,00:02:35.78,0
"C1-25-50-50-4.ctp",30449,00:07:13.20,0
"C1-25-50-50-5.ctp",27214,00:06:25.80,0
"C1-25-50-50-6.ctp",24284,00:07:33.21,0
"C1-25-50-50-8.ctp",21266,00:06:42.92,0
"C1-5-25-75-4.ctp",9898,00:02:13.65,9898
"C1-5-25-75-5.ctp",9707,00:01:56.39,9707
"C1-5-25-75-6.ctp",9321,00:01:44.51,9321
"C1-5-25-75-8.ctp",7474,00:01:52.66,7474
"D1-1-25-75-4.ctp",7671,00:02:20.94,7671
"D1-1-25-75-5.ctp",7465,00:02:06.80,7465
"D1-1-25-75-6.ctp",6651,00:01:24.70,6651
"D1-1-25-75-8.ctp",6651,00:02:10.07,6651
"D1-1-50-50-4.ctp",11606,00:05:14.54,11606
"D1-1-50-50-5.ctp",10770,00:04:49.52,10770
"D1-1-50-50-6.ctp",10525,00:05:01.50,10680
"D1-1-50-50-8.ctp",9361,00:05:22.79,9361
"D1-10-50-50-4.ctp",21210,00:04:57.43,20982
"D1-10-50-50-5.ctp",18576,00:06:29.65,18576
"D1-10-50-50-6.ctp",16343,00:07:14.19,16330
"D1-10-50-50-8.ctp",14204,00:07:03.40,14204
"D1-13-25-75-4.ctp",19508,00:02:32.62,0
"D1-13-25-75-5.ctp",16474,00:02:39.42,0
"D1-13-25-75-6.ctp",15571,00:02:39.98,0
"D1-13-25-75-8.ctp",14182,00:01:37.27,0
"D1-25-50-50-4.ctp",36064,00:07:52.21,0
"D1-25-50-50-5.ctp",31796,00:07:33.58,0
"D1-25-50-50-6.ctp",28401,00:06:59.07,0
"D1-25-50-50-8.ctp",23830,00:08:34.71,0
"D1-5-25-75-4.ctp",11820,00:02:15.67,11820
"D1-5-25-75-5.ctp",10982,00:02:17.22,10982
"D1-5-25-75-6.ctp",9676,00:01:59.80,9669
"D1-5-25-75-8.ctp",8200,00:01:53.65,8200
